Date,Time,Event,Side,Mode,Entry,SL,TP1,TP2,Qty,Score,CtrlScore,DivStr,Delta,BarSpeed,ExitPx,ExitReason,HoldBars,MAE,MFE,DayPnL,TotalPnL,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,Version
2025-12-16,10:41:35,EXIT,SHORT,M5,25210.0,25250.0,25165.25,25102.5,1,5,-1,-1,-100.0,2500.0,25250.0,STOP,4,92.5,16.0,-805.0,-805.0,0,0,0.9,-1,1,0,v12.19-py
2025-12-16,10:41:35,EXIT,SHORT,M5,25210.0,25250.0,25165.25,25102.5,1,5,-1,-1,-100.0,2500.0,25250.0,STOP,4,92.5,16.0,-805.0,-805.0,0,0,0.9,-1,1,0,v12.19-py
2025-12-17,12:46:22,EXIT,SHORT,M5,24995.0,25033.5,24955.0,24898.75,1,5,-2,-1,-252.0,2500.0,25033.5,STOP,4,45.0,1.25,-775.0,-1580.0,0,0,0.9,-1,1,0,v12.19-py
2025-12-17,12:46:22,EXIT,SHORT,M5,24995.0,25033.5,24955.0,24898.75,1,5,-2,-1,-252.0,2500.0,25033.5,STOP,4,45.0,1.25,-775.0,-1580.0,0,0,0.9,-1,1,0,v12.19-py
2025-12-18,14:23:02,EXIT,SHORT,M5,25270.0,25300.0,25238.75,25194.75,1,5,-1,0,-44.0,2500.0,25262.5,TRAIL,7,13.75,32.0,145.0,-1435.0,0,0,0.9,-1,1,0,v12.19-py
2025-12-18,14:23:02,EXIT,SHORT,M5,25270.0,25300.0,25238.75,25194.75,1,5,-1,0,-44.0,2500.0,25262.5,TRAIL,7,13.75,32.0,145.0,-1435.0,0,0,0.9,-1,1,0,v12.19-py
2025-12-19,11:39:37,EXIT,SHORT,M4,25552.5,25578.5,25525.5,25477.5,1,5,-1,-5,-142.0,2500.0,25546.0,TRAIL,11,12.5,58.0,125.0,-1310.0,0,0,0.9,1,1,0,v12.19-py
2025-12-19,11:39:37,EXIT,SHORT,M4,25552.5,25578.5,25525.5,25477.5,1,5,-1,-5,-142.0,2500.0,25546.0,TRAIL,11,12.5,58.0,125.0,-1310.0,0,0,0.9,1,1,0,v12.19-py
2025-12-22,11:21:05,EXIT,LONG,M5,25719.0,25697.0,25744.0,25794.0,1,5,3,-2,308.0,2500.0,25697.0,STOP,4,27.0,0.5,-445.0,-1755.0,0,0,0.9,1,1,0,v12.19-py
2025-12-22,11:21:05,EXIT,LONG,M5,25719.0,25697.0,25744.0,25794.0,1,5,3,-2,308.0,2500.0,25697.0,STOP,4,27.0,0.5,-445.0,-1755.0,0,0,0.9,1,1,0,v12.19-py
2025-12-22,14:41:59,EXIT,LONG,M5,25701.25,25681.25,25726.25,25776.25,1,5,1,0,58.0,2500.0,25681.25,STOP,5,21.75,3.25,-850.0,-2160.0,0,0,0.6,-1,1,0,v12.19-py
2025-12-22,14:41:59,EXIT,LONG,M5,25701.25,25681.25,25726.25,25776.25,1,5,1,0,58.0,2500.0,25681.25,STOP,5,21.75,3.25,-850.0,-2160.0,0,0,0.6,-1,1,0,v12.19-py
2025-12-23,11:45:26,EXIT,LONG,M5,25756.25,25736.25,25781.25,25831.25,1,5,3,-2,418.0,2500.0,25809.25,FLATTEN,40,5.5,62.75,1055.0,-1105.0,0,0,0.9,1,1,0,v12.19-py
2025-12-23,11:45:26,EXIT,LONG,M5,25756.25,25736.25,25781.25,25831.25,1,5,3,-2,418.0,2500.0,25809.25,FLATTEN,40,5.5,62.75,1055.0,-1105.0,0,0,0.9,1,1,0,v12.19-py
2026-01-02,10:35:29,EXIT,LONG,M5,25538.0,25503.0,25574.25,25625.25,1,5,2,0,26.0,2500.0,25547.25,TRAIL,9,19.75,66.5,180.0,-925.0,0,0,0.9,-1,1,0,v12.19-py
2026-01-02,10:35:29,EXIT,LONG,M5,25538.0,25503.0,25574.25,25625.25,1,5,2,0,26.0,2500.0,25547.25,TRAIL,9,19.75,66.5,180.0,-925.0,0,0,0.9,-1,1,0,v12.19-py
2026-01-07,11:47:35,EXIT,LONG,M5,25959.25,25939.25,25984.25,26034.25,1,5,3,-2,76.0,2504.0,25963.25,TRAIL,20,14.0,37.25,75.0,-850.0,0,0,0.9,1,1,0,v12.19-py
2026-01-07,11:47:35,EXIT,LONG,M5,25959.25,25939.25,25984.25,26034.25,1,5,3,-2,76.0,2504.0,25963.25,TRAIL,20,14.0,37.25,75.0,-850.0,0,0,0.9,1,1,0,v12.19-py
2026-01-08,10:36:46,EXIT,SHORT,M6,25635.0,25659.39,25622.75,25592.5,1,5,-2,0,-506.0,2500.0,25659.39,STOP,4,63.75,10.0,-492.78,-1342.78,0,0,0.9,0,1,0,v12.19-py
2026-01-08,10:36:46,EXIT,SHORT,M6,25635.0,25659.39,25622.75,25592.5,1,5,-2,0,-506.0,2500.0,25659.39,STOP,4,63.75,10.0,-492.78,-1342.78,0,0,0.9,0,1,0,v12.19-py
2026-01-12,14:31:48,EXIT,LONG,M5,26007.75,25987.75,26032.75,26082.75,1,5,3,-2,32.0,2500.0,25987.75,STOP,10,21.75,12.75,-405.0,-1747.78,0,0,0.6,1,1,0,v12.19-py
2026-01-12,14:31:48,EXIT,LONG,M5,26007.75,25987.75,26032.75,26082.75,1,5,3,-2,32.0,2500.0,25987.75,STOP,10,21.75,12.75,-405.0,-1747.78,0,0,0.6,1,1,0,v12.19-py
2026-01-13,13:51:24,EXIT,SHORT,M5,25848.0,25876.5,25818.25,25773.0,1,5,-1,0,-202.0,2500.0,25876.5,STOP,18,28.5,26.5,-575.0,-2322.78,0,0,0.6,-1,1,0,v12.19-py
2026-01-13,13:51:24,EXIT,SHORT,M5,25848.0,25876.5,25818.25,25773.0,1,5,-1,0,-202.0,2500.0,25876.5,STOP,18,28.5,26.5,-575.0,-2322.78,0,0,0.6,-1,1,0,v12.19-py
2026-01-14,10:30:55,EXIT,SHORT,M5,25587.25,25624.5,25548.5,25494.25,1,5,-1,-1,-42.0,2500.0,25624.5,STOP,7,47.5,14.25,-750.0,-3072.78,0,0,0.6,1,1,0,v12.19-py
2026-01-14,10:30:55,EXIT,SHORT,M5,25587.25,25624.5,25548.5,25494.25,1,5,-1,-1,-42.0,2500.0,25624.5,STOP,7,47.5,14.25,-750.0,-3072.78,0,0,0.6,1,1,0,v12.19-py
2026-01-15,14:26:31,EXIT,SHORT,M5,25801.0,25826.25,25774.75,25726.0,1,5,-1,0,-525.0,2507.0,25794.75,TRAIL,10,11.75,47.5,120.0,-2952.78,0,0,0.6,-1,1,0,v12.19-py
2026-01-15,14:26:31,EXIT,SHORT,M5,25801.0,25826.25,25774.75,25726.0,1,5,-1,0,-525.0,2507.0,25794.75,TRAIL,10,11.75,47.5,120.0,-2952.78,0,0,0.6,-1,1,0,v12.19-py
2026-01-20,14:38:54,EXIT,LONG,M4,25153.25,25128.0,25179.75,25228.25,1,5,1,2,240.0,2500.0,25159.5,TRAIL,4,11.75,26.5,120.0,-2832.78,0,0,0.6,-1,1,0,v12.19-py
2026-01-20,14:38:54,EXIT,LONG,M4,25153.25,25128.0,25179.75,25228.25,1,5,1,2,240.0,2500.0,25159.5,TRAIL,4,11.75,26.5,120.0,-2832.78,0,0,0.6,-1,1,0,v12.19-py
2026-01-21,10:33:21,EXIT,LONG,M5,25413.75,25383.0,25445.75,25490.25,1,5,2,-2,58.0,2500.0,25472.25,TRAIL,23,4.75,80.75,1165.0,-1667.78,0,0,0.6,1,1,0,v12.19-py
2026-01-21,10:33:21,EXIT,LONG,M5,25413.75,25383.0,25445.75,25490.25,1,5,2,-2,58.0,2500.0,25472.25,TRAIL,23,4.75,80.75,1165.0,-1667.78,0,0,0.6,1,1,0,v12.19-py
2026-01-22,13:57:20,EXIT,SHORT,M6,25676.0,25687.9,25663.75,25644.25,1,5,-2,0,-174.0,2500.0,25687.9,STOP,4,31.75,9.0,-243.08,-1910.85,0,0,0.6,0,1,0,v12.19-py
2026-01-22,13:57:20,EXIT,SHORT,M6,25676.0,25687.9,25663.75,25644.25,1,5,-2,0,-174.0,2500.0,25687.9,STOP,4,31.75,9.0,-243.08,-1910.85,0,0,0.6,0,1,0,v12.19-py
2026-01-26,11:31:17,EXIT,LONG,M5,25915.0,25892.25,25940.0,25990.0,1,5,3,-2,198.0,2500.0,25892.25,STOP,5,24.25,13.5,-460.0,-2370.85,0,0,0.6,1,1,0,v12.19-py
2026-01-26,11:31:17,EXIT,LONG,M5,25915.0,25892.25,25940.0,25990.0,1,5,3,-2,198.0,2500.0,25892.25,STOP,5,24.25,13.5,-460.0,-2370.85,0,0,0.6,1,1,0,v12.19-py
